state;mosque00;mosque10;SWA;HSF;Mus.pop;Rank;pop.sqmile;size.rank
ALABAMA;23;28;4048;3459364;36400;27; 96   ;28
ALASKA;3;2;285;3459364;2600;50; 1   ;1
ARIZONA;23;29;23409;3459364;37700;33; 60   ;6
ARKANSAS;8;15;2962;3459364;19500;34; 57   ;27
CALIFORNIA;227;525;263 166;52204659;682500;11; 251   ;3
COLORADO;17;20;8567;3459364;26000;37; 53   ;8
CONNECTICUT;21;88;8567;3978000;114400;4; 742   ;48
DELAWARE;3;11;1252;3459364;14300;6; 485   ;49
FLORIDA;57;153;48526;9574272;198900;8; 378   ;26
GEORGIA;41;95;11836;5918784;123500;17; 178   ;21
HAWAII;2;3;349;3459364;3900;13; 223   ;47
IDAHO;3;6;717;3459365;7800;44; 20   ;11
ILLINOIS;57;200;50693;14222962;260000;12; 232   ;24
INDIANA;23;32;5866;3459364;41600;16; 185   ;38
IOWA;14;19;3915;3459364;24700;36; 56   ;23
KANSAS;8;26;3988;3459364;33800;41; 36   ;13
KENTUCKY;8;30;6669;3459364;39000;22; 112   ;37
LOUISIANA;15;30;6994;3459364;39000;23; 108   ;33
MAINE;1;8;2022;3459364;10400;38; 43   ;39
MARYLAND;30;60;15901;5325727;78000;5; 619   ;42
MASSACHUSETTS;23;48;29510;4888662;62400;3; 871   ;45
MICHIGAN;23;139;104815;5789215;180700;18; 176   ;22
MINNESOTA;9;47;10270;3459364;61100;30; 69   ;14
MISSISSIPPI;10;17;2316;3459364;22100;32; 64   ;31
MISSOURI;21;44;9021;3459364;57200;28; 89   ;18
MONTANA;2;3;525;3459364;3900;48; 7   ;4
NEBRASKA;4;6;2756;3459364;7800;43; 25   ;15
NEVADA;3;10;10298;3459364;13000;42; 26   ;7
NEW HAMPSHIRE;1;5;2405;3459364;6500;21; 149   ;44
NEW JERSEY;86;103;44 818;7264241;133900;1; 1 218   ;46
NEW MEXICO;6;9;2601;3459364;11700;45; 17   ;5
NEW YORK;140;507;103 928;66732460;659100;7; 420   ;30
NORTH CAROLINA;34;52;10373;5489000;67600;15; 207   ;29
NORTH DAKOTA;3;3;1611;3459364;3900;47; 11   ;17
OHIO;66;88;30142;6693676;114400;10; 284   ;35
OKLAHOMA;14;16;3560;3459364;20800;35; 57   ;19
OREGON;12;12;7439;3459364;15600;39; 42   ;10
PENNSYLVANIA;67;98;27348;8718570;127400;9; 286   ;32
RHODE ISLAND;5;8;3759;3459364;10400;2; 1 022   ;50
SOUTH CAROLINA;15;22;5657;3459364;28600;19; 163   ;40
SOUTH DAKOTA;1;3;261;3459364;3900;46; 11   ;16
TENNESSEE;15;40;14082;3459364;52000;20; 160   ;34
TEXAS;67;302;52611;18650481;392600;26; 105   ;2
UTAH;3;15;3883;3459364;19500;40; 37   ;12
VERMONT;2;1;679;3459364;1300;31; 68   ;43
VIRGINIA;37;88;33063;6446710;114400;14; 212   ;36
WASHINGTON;24;41;13628;5646176;53300;24; 108   ;20
WEST VIRGINIA;4;6;611;3459364;7800;29; 77   ;41
WISCONSIN;19;26;5178;3459364;33800;25; 107   ;25
WYOMING;2;3;170;3459364;3900;49; 6   ;9
